movie,original_title,genres,directors,production_budget,domestic_gross,worldwide_gross,TN_year,TN_month
Mad Max: Fury Road,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",nm0004306,150000000.0,153636354.0,370098020.0,2015,May
Ready Player One,Ready Player One,"Action,Adventure,Sci-Fi",nm0000229,150000000.0,137690172.0,579290136.0,2018,Mar
The Last Airbender,The Last Airbender,"Action,Adventure,Family",nm0796117,150000000.0,131772187.0,319713881.0,2010,Jul
Wrath of the Titans,Wrath of the Titans,"Action,Adventure,Fantasy",nm0509448,150000000.0,83670083.0,305270083.0,2012,Mar
Dark Shadows,Dark Shadows,"Comedy,Fantasy,Horror",nm0000318,150000000.0,79727149.0,238202668.0,2012,May
White House Down,White House Down,"Action,Drama,Thriller",nm0000386,150000000.0,73103784.0,205440387.0,2013,Jun
The Wolfman,The Wolfman,"Drama,Fantasy,Horror",nm0002653,150000000.0,62189884.0,142634358.0,2010,Feb
The Great Wall,The Great Wall,"Action,Adventure,Fantasy",nm0955443,150000000.0,45157105.0,334486852.0,2017,Feb
The Great Wall,The Great Wall,Documentary,nm2738464,150000000.0,45157105.0,334486852.0,2017,Feb
Pan,Pan,"Adventure,Comedy,Family",nm0942504,150000000.0,35088320.0,151525973.0,2015,Oct
Mars Needs Moms,Mars Needs Moms,"Adventure,Animation,Family",nm0920425,150000000.0,21392758.0,39549758.0,2011,Mar
Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,"Adventure,Animation,Comedy","nm0569891,nm0970447,nm0201509",145000000.0,216391482.0,746921271.0,2012,Jun
How to Train Your Dragon 2,How to Train Your Dragon 2,"Action,Adventure,Animation",nm0213450,145000000.0,177002924.0,614586270.0,2014,Jun
Mr. Peabody & Sherman,Mr. Peabody & Sherman,"Adventure,Animation,Comedy",nm0591450,145000000.0,111506430.0,269806430.0,2014,Mar
Rise of the Guardians,Rise of the Guardians,"Action,Adventure,Animation",nm0709056,145000000.0,103412758.0,306900902.0,2012,Nov
Ghostbusters,Ghostbusters,"Action,Comedy,Fantasy",nm0082450,144000000.0,128350574.0,229008658.0,2016,Jul
Captain America: The First Avenger,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",nm0002653,140000000.0,176654505.0,370569776.0,2011,Jul
Kung Fu Panda 3,Kung Fu Panda 3,"Action,Adventure,Animation","nm1868917,nm0950775",140000000.0,143528619.0,517599142.0,2016,Jan
G.I. Joe: Retaliation,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",nm0160840,140000000.0,122523060.0,375740705.0,2013,Mar
Exodus: Gods and Kings,Exodus: Gods and Kings,"Action,Adventure,Drama",nm0000631,140000000.0,65014513.0,268314513.0,2014,Dec
The BFG,The BFG,"Adventure,Family,Fantasy",nm0000229,140000000.0,55483770.0,199646680.0,2016,Jul
Gods of Egypt,Gods of Egypt,"Action,Adventure,Fantasy",nm0001639,140000000.0,31153464.0,138836756.0,2016,Feb
The Croods,The Croods,"Action,Adventure,Animation","nm0761498,nm0210320",135000000.0,187168425.0,573068425.0,2013,Mar
The Revenant,The Revenant,"Action,Adventure,Biography",nm0327944,135000000.0,183637894.0,532938302.0,2015,Dec
The Revenant,The Revenant,Horror,nm5419512,135000000.0,183637894.0,532938302.0,2015,Dec
Rango,Rango,"Adventure,Animation,Comedy",nm0893659,135000000.0,123477607.0,245724600.0,2011,Mar
Turbo,Turbo,"Adventure,Animation,Comedy",nm1659741,135000000.0,83028130.0,286896578.0,2013,Jul
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",nm1757777,135000000.0,82051601.0,245328374.0,2016,Jun
Happy Feet Two,Happy Feet Two,"Adventure,Animation,Comedy","nm0004306,nm0248495,nm1668276",135000000.0,64006466.0,157956466.0,2011,Nov
The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,"Adventure,Family,Fantasy","nm0002120,nm0002653",132900000.0,54858851.0,170293899.0,2018,Nov
Penguins of Madagascar,Penguins of Madagascar,"Adventure,Animation,Comedy","nm0971239,nm0201509",132000000.0,83350911.0,366942531.0,2014,Nov
